Id,Label,timeset,degree,modularity_class,vote_average0
492,492,,0,92,5.0
493,493,,10,1166,8.0
494,494,,0,93,8.0
495,495,,1,145,6.0
496,496,,7,1195,6.0
497,497,,9,1079,7.0
498,498,,0,94,7.0
499,499,,15,668,4.0
500,500,,6,993,6.0
501,501,,2,499,8.0
502,502,,3,855,6.0
503,503,,1,287,4.0
504,504,,0,95,6.0
505,505,,0,96,6.0
506,506,,5,1246,7.0
507,507,,4,499,7.0
508,508,,2,1166,6.0
509,509,,6,1268,7.0
510,510,,1,139,7.0
511,511,,7,1096,7.0
512,512,,2,499,6.0
513,513,,3,499,7.0
514,514,,3,864,7.0
515,515,,14,668,7.0
516,516,,1,139,7.0
517,517,,0,97,5.0
518,518,,2,25,4.0
519,519,,7,98,7.0
520,520,,20,668,6.0
521,521,,3,949,7.0
522,522,,0,99,6.0
523,523,,1,156,6.0
524,524,,4,1079,7.0
525,525,,5,1162,6.0
526,526,,0,100,7.0
527,527,,5,139,5.0
528,528,,3,1134,7.0
529,529,,4,993,6.0
530,530,,1,1195,6.0
531,531,,0,101,7.0
532,532,,0,102,6.0
533,533,,5,1063,6.0
534,534,,3,64,6.0
535,535,,2,103,6.0
536,536,,1,479,6.0
537,537,,0,104,6.0
538,538,,3,1079,6.0
539,539,,1,64,6.0
540,540,,2,993,5.0
541,541,,1,161,6.0
542,542,,0,105,6.0
543,543,,3,949,4.0
544,544,,3,64,6.0
545,545,,4,993,7.0
546,546,,5,1246,6.0
547,547,,1,1192,6.0
548,548,,3,993,6.0
549,549,,2,1246,6.0
550,550,,7,909,6.0
551,551,,2,909,5.0
552,552,,10,499,6.0
553,553,,7,505,7.0
554,554,,12,499,6.0
555,555,,1,909,5.0
556,556,,2,1041,8.0
557,557,,3,1568,7.0
558,558,,1,909,7.0
559,559,,3,1079,7.0
560,560,,0,106,5.0
561,561,,0,107,7.0
562,562,,2,25,6.0
563,563,,4,909,5.0
564,564,,1,25,6.0
565,565,,6,505,7.0
566,566,,3,499,7.0
567,567,,1,1192,6.0
568,568,,1,160,6.0
569,569,,2,505,6.0
570,570,,3,368,6.0
571,571,,5,98,8.0
572,572,,1,1195,7.0
573,573,,1,498,7.0
574,574,,4,993,6.0
575,575,,4,98,7.0
576,576,,1,1012,5.0
577,577,,0,108,6.0
578,578,,6,909,5.0
579,579,,0,109,7.0
580,580,,4,98,6.0
581,581,,4,345,6.0
582,582,,0,110,6.0
583,583,,4,25,8.0
584,584,,1,153,6.0
585,585,,2,722,7.0
586,586,,11,64,6.0
587,587,,2,499,7.0
588,588,,6,928,6.0
589,589,,0,111,6.0
590,590,,0,112,6.0
591,591,,0,113,7.0
592,592,,0,114,7.0
593,593,,0,115,5.0
594,594,,1,668,5.0
595,595,,1,116,5.0
596,596,,0,117,5.0
597,597,,1,1041,6.0
598,598,,0,118,6.0
599,599,,4,993,6.0
600,600,,2,1192,6.0
601,601,,0,119,3.0
602,602,,3,909,4.0
603,603,,2,1079,6.0
604,604,,1,949,6.0
605,605,,2,1096,6.0
606,606,,0,120,5.0
607,607,,5,1012,6.0
608,608,,0,121,5.0
609,609,,2,1103,7.0
610,610,,1,1041,4.0
611,611,,6,949,6.0
612,612,,3,122,6.0
613,613,,2,64,7.0
614,614,,6,1246,7.0
615,615,,0,123,5.0
616,616,,3,1246,6.0
617,617,,1,1192,7.0
618,618,,5,64,6.0
619,619,,2,909,5.0
620,620,,5,949,7.0
621,621,,2,1246,6.0
622,622,,3,928,7.0
623,623,,3,505,6.0
624,624,,0,124,6.0
625,625,,0,125,6.0
626,626,,2,1079,7.0
627,627,,2,855,5.0
628,628,,5,928,8.0
629,629,,0,126,6.0
630,630,,0,127,6.0
631,631,,7,864,7.0
632,632,,1,481,5.0
633,633,,2,1568,7.0
634,634,,3,993,8.0
635,635,,1,175,7.0
636,636,,3,1166,6.0
637,637,,3,25,7.0
638,638,,1,1246,6.0
639,639,,7,499,7.0
640,640,,3,1079,6.0
641,641,,4,505,6.0
642,642,,1,1246,7.0
643,643,,0,128,6.0
644,644,,0,129,6.0
645,645,,3,1079,6.0
646,646,,2,1079,6.0
647,647,,2,1192,6.0
648,648,,4,64,7.0
649,649,,2,499,6.0
650,650,,1,1012,7.0
651,651,,1,64,6.0
652,652,,2,1192,7.0
653,653,,0,130,6.0
654,654,,4,1063,6.0
655,655,,2,505,6.0
656,656,,1,1063,6.0
657,657,,3,242,6.0
658,658,,1,64,6.0
659,659,,3,909,7.0
660,660,,1,993,6.0
661,661,,0,131,6.0
662,662,,1,132,8.0
663,663,,0,133,7.0
664,664,,0,134,5.0
