,0
1464,0.0
1465,7.0
1466,5.0
1467,7.0
1468,7.0
1469,5.0
1470,5.0
1471,8.0
1472,7.0
1473,5.0
1474,5.0
1475,5.0
1476,7.0
1477,7.0
1478,7.0
1479,5.0
1480,6.0
1481,6.0
1482,5.0
1483,7.0
1484,5.0
1485,5.0
1486,6.0
1487,7.0
1488,6.0
1489,6.0
1490,8.0
1491,6.0
1492,7.0
1493,5.0
1494,6.0
1495,6.0
1496,5.0
1497,7.0
1498,6.0
1499,7.0
1500,6.0
1501,6.0
1502,7.0
1503,6.0
1504,6.0
1505,5.0
1506,7.0
1507,7.0
1508,6.0
1509,7.0
1510,6.0
1511,6.0
1512,7.0
1513,6.0
1514,6.0
1515,6.0
1516,7.0
1517,6.0
1518,4.0
1519,5.0
1520,5.0
1521,7.0
1522,7.0
1523,6.0
1524,5.0
1525,8.0
1526,6.0
1527,7.0
1528,6.0
1529,7.0
1530,7.0
1531,6.0
1532,8.0
1533,6.0
1534,6.0
1535,7.0
1536,6.0
1537,6.0
1538,7.0
1539,6.0
1540,6.0
1541,8.0
1542,7.0
1543,7.0
1544,6.0
1545,7.0
1546,7.0
1547,7.0
1548,6.0
1549,7.0
1550,6.0
1551,7.0
1552,7.0
1553,8.0
1554,7.0
1555,7.0
1556,8.0
1557,8.0
1558,6.0
1559,8.0
1560,6.0
1561,6.0
1562,6.0
1563,6.0
1564,7.0
1565,7.0
1566,7.0
1567,6.0
1568,7.0
1569,5.0
1570,6.0
1571,6.0
1572,6.0
1573,7.0
1574,6.0
1575,6.0
1576,6.0
1577,5.0
1578,6.0
1579,7.0
1580,6.0
1581,7.0
1582,6.0
1583,6.0
1584,6.0
1585,6.0
1586,6.0
1587,7.0
1588,7.0
1589,5.0
1590,7.0
1591,7.0
1592,6.0
1593,5.0
1594,7.0
1595,7.0
1596,7.0
1597,7.0
1598,6.0
1599,7.0
1600,7.0
1601,7.0
1602,6.0
1603,7.0
1604,6.0
1605,7.0
1606,4.0
1607,7.0
1608,6.0
1609,7.0
1610,7.0
1611,4.0
1612,6.0
1613,6.0
1614,7.0
1615,7.0
1616,5.0
1617,7.0
1618,6.0
1619,6.0
1620,7.0
1621,4.0
1622,6.0
1623,6.0
1624,6.0
1625,5.0
1626,5.0
1627,6.0
1628,6.0
1629,5.0
1630,6.0
1631,5.0
1632,7.0
1633,5.0
1634,6.0
1635,6.0
1636,5.0
1637,5.0
1638,7.0
1639,6.0
1640,7.0
1641,6.0
1642,6.0
1643,5.0
1644,6.0
1645,5.0
1646,5.0
1647,7.0
1648,6.0
1649,6.0
1650,4.0
1651,5.0
1652,3.0
1653,6.0
1654,5.0
1655,6.0
1656,5.0
1657,7.0
1658,6.0
1659,7.0
1660,6.0
1661,6.0
1662,7.0
1663,8.0
1664,6.0
1665,7.0
1666,6.0
1667,5.0
1668,6.0
1669,5.0
1670,5.0
1671,7.0
1672,5.0
1673,6.0
1674,5.0
1675,6.0
1676,6.0
1677,7.0
1678,3.0
1679,6.0
1680,6.0
1681,7.0
1682,6.0
1683,7.0
1684,7.0
1685,6.0
1686,6.0
1687,7.0
1688,7.0
1689,5.0
1690,6.0
1691,7.0
1692,6.0
1693,5.0
1694,7.0
1695,7.0
1696,8.0
1697,7.0
1698,6.0
1699,6.0
1700,7.0
1701,6.0
1702,8.0
1703,6.0
1704,7.0
1705,6.0
1706,7.0
1707,7.0
1708,6.0
1709,7.0
1710,7.0
1711,7.0
1712,6.0
1713,6.0
1714,7.0
1715,6.0
1716,6.0
1717,7.0
1718,6.0
1719,6.0
1720,7.0
1721,6.0
1722,5.0
1723,6.0
1724,8.0
1725,8.0
1726,7.0
1727,6.0
1728,7.0
1729,5.0
1730,7.0
1731,6.0
1732,6.0
1733,6.0
1734,6.0
1735,5.0
1736,6.0
1737,6.0
1738,7.0
1739,6.0
1740,6.0
1741,6.0
1742,6.0
1743,6.0
1744,6.0
1745,7.0
1746,6.0
1747,7.0
1748,7.0
1749,6.0
1750,7.0
1751,6.0
1752,6.0
1753,8.0
1754,6.0
1755,7.0
1756,7.0
1757,6.0
1758,7.0
1759,7.0
1760,6.0
1761,7.0
1762,7.0
1763,7.0
1764,7.0
1765,6.0
1766,6.0
1767,6.0
1768,7.0
1769,4.0
1770,7.0
1771,6.0
1772,6.0
1773,6.0
1774,5.0
1775,6.0
1776,7.0
1777,5.0
1778,6.0
1779,6.0
1780,7.0
1781,6.0
1782,6.0
1783,7.0
1784,7.0
1785,7.0
1786,6.0
1787,7.0
1788,6.0
1789,6.0
1790,7.0
1791,5.0
1792,6.0
1793,6.0
1794,5.0
1795,7.0
1796,7.0
1797,5.0
1798,6.0
1799,6.0
1800,6.0
1801,5.0
1802,5.0
1803,6.0
1804,6.0
1805,7.0
1806,4.0
1807,5.0
1808,6.0
1809,7.0
1810,7.0
1811,7.0
1812,8.0
1813,8.0
1814,6.0
1815,7.0
1816,7.0
1817,6.0
1818,8.0
1819,8.0
1820,6.0
1821,5.0
1822,5.0
1823,6.0
1824,5.0
1825,6.0
1826,6.0
1827,6.0
1828,8.0
1829,8.0
1830,6.0
1831,7.0
1832,7.0
1833,5.0
1834,6.0
1835,6.0
1836,7.0
1837,6.0
1838,7.0
1839,6.0
1840,7.0
1841,7.0
1842,7.0
1843,7.0
1844,6.0
1845,6.0
1846,7.0
1847,8.0
1848,5.0
1849,6.0
1850,8.0
1851,6.0
1852,7.0
1853,6.0
1854,6.0
1855,8.0
1856,6.0
1857,6.0
1858,6.0
1859,6.0
1860,6.0
1861,6.0
1862,5.0
1863,7.0
1864,6.0
1865,6.0
1866,6.0
1867,6.0
1868,6.0
1869,7.0
1870,6.0
1871,6.0
1872,5.0
1873,6.0
1874,7.0
1875,7.0
1876,6.0
1877,7.0
1878,5.0
1879,5.0
1880,5.0
1881,9.0
1882,5.0
1883,7.0
1884,6.0
1885,7.0
1886,6.0
1887,7.0
1888,7.0
1889,7.0
1890,6.0
1891,7.0
1892,6.0
1893,5.0
1894,6.0
1895,7.0
1896,7.0
1897,5.0
1898,5.0
1899,5.0
1900,5.0
1901,7.0
1902,5.0
1903,6.0
1904,4.0
1905,5.0
1906,6.0
1907,5.0
1908,4.0
1909,7.0
1910,6.0
1911,5.0
1912,7.0
1913,7.0
1914,6.0
1915,6.0
1916,7.0
1917,6.0
1918,7.0
1919,6.0
1920,8.0
1921,7.0
1922,7.0
1923,6.0
1924,5.0
1925,6.0
1926,6.0
1927,5.0
1928,6.0
1929,6.0
1930,6.0
1931,7.0
1932,5.0
1933,6.0
1934,5.0
1935,7.0
1936,6.0
1937,5.0
1938,6.0
1939,4.0
1940,7.0
1941,6.0
1942,6.0
1943,6.0
1944,7.0
1945,8.0
1946,6.0
1947,6.0
1948,7.0
1949,6.0
1950,4.0
1951,6.0
1952,5.0
1953,6.0
1954,7.0
1955,7.0
1956,4.0
1957,7.0
1958,6.0
1959,7.0
1960,7.0
1961,6.0
1962,5.0
1963,6.0
1964,6.0
1965,6.0
1966,7.0
1967,7.0
1968,5.0
1969,6.0
1970,6.0
1971,6.0
1972,6.0
1973,6.0
1974,8.0
1975,6.0
1976,6.0
1977,6.0
1978,5.0
1979,6.0
1980,5.0
1981,5.0
1982,7.0
1983,4.0
1984,7.0
1985,5.0
1986,6.0
1987,8.0
1988,7.0
1989,6.0
1990,8.0
1991,7.0
1992,7.0
1993,6.0
1994,7.0
1995,7.0
1996,6.0
1997,8.0
1998,6.0
1999,5.0
2000,6.0
2001,6.0
2002,6.0
2003,4.0
2004,7.0
2005,7.0
2006,7.0
2007,6.0
2008,7.0
2009,7.0
2010,6.0
2011,6.0
2012,6.0
2013,7.0
2014,7.0
2015,7.0
2016,7.0
2017,7.0
2018,7.0
2019,6.0
2020,7.0
2021,6.0
2022,7.0
2023,5.0
2024,7.0
2025,7.0
2026,6.0
2027,7.0
2028,6.0
2029,7.0
2030,6.0
2031,6.0
2032,7.0
2033,5.0
2034,6.0
2035,6.0
2036,5.0
2037,6.0
2038,6.0
2039,6.0
2040,5.0
2041,6.0
2042,5.0
2043,6.0
2044,6.0
2045,6.0
2046,4.0
2047,4.0
2048,5.0
2049,4.0
2050,5.0
2051,6.0
2052,7.0
2053,7.0
2054,6.0
2055,6.0
2056,6.0
2057,7.0
2058,5.0
2059,7.0
2060,7.0
2061,7.0
2062,6.0
2063,7.0
2064,6.0
2065,6.0
2066,6.0
2067,7.0
2068,7.0
2069,5.0
2070,6.0
2071,7.0
2072,8.0
2073,7.0
2074,7.0
2075,6.0
2076,5.0
2077,7.0
2078,6.0
2079,7.0
2080,7.0
2081,6.0
2082,6.0
2083,6.0
2084,7.0
2085,8.0
2086,6.0
2087,7.0
2088,5.0
2089,6.0
2090,5.0
2091,8.0
2092,7.0
2093,6.0
2094,6.0
2095,5.0
2096,7.0
2097,5.0
2098,5.0
2099,7.0
2100,5.0
2101,6.0
2102,7.0
2103,7.0
2104,7.0
2105,8.0
2106,6.0
2107,6.0
2108,8.0
2109,8.0
2110,6.0
2111,7.0
2112,6.0
2113,4.0
2114,6.0
2115,7.0
2116,6.0
2117,5.0
2118,6.0
2119,6.0
2120,7.0
2121,7.0
2122,3.0
2123,8.0
2124,6.0
2125,5.0
2126,6.0
2127,6.0
2128,6.0
2129,6.0
2130,6.0
2131,7.0
2132,4.0
2133,7.0
2134,7.0
2135,7.0
2136,7.0
2137,5.0
2138,6.0
2139,5.0
2140,6.0
